DATE,Kc,FW_MUESTRA,Falla
2020-01-13 21:20:00,0.1145335,0.1012731,A
2020-01-13 22:00:00,0.1475694,0.1356361,A
2020-01-13 22:20:00,0.09403935,0.1012731,A
2020-01-13 22:40:00,0.157067,0.1475694,A
2020-01-13 23:00:00,0.09259259,0.1012731,A
2020-01-13 23:20:00,0.1186343,0.1302083,A
2020-01-13 23:40:00,0.1187272,0.1019608,A
2020-01-14 00:20:00,0.1649306,0.150463,A
2020-01-14 00:40:00,0.1027199,0.1070602,A
2020-01-14 01:00:00,0.0954861,0.1012731,A
2020-01-14 01:20:00,0.1311772,0.1415964,A
2020-01-14 01:40:00,0.1102175,0.1012731,A
2020-01-14 02:00:00,0.1027199,0.1070602,A
2020-01-14 02:20:00,0.150463,0.139467,A
2020-01-14 02:40:00,0.1041667,0.1070602,A
2020-01-14 03:00:00,0.1649306,0.1507986,A
2020-01-14 03:20:00,0.1041667,0.1070602,A
2020-01-14 03:40:00,0.1114005,0.1215278,A
2020-01-14 04:00:00,0.1432292,0.1205877,A
2020-01-14 04:20:00,0.1018814,0.1041667,A
2020-01-14 04:40:00,0.1721644,0.1586988,A
2020-01-14 05:00:00,0.0954861,0.1012731,A
2020-01-14 05:20:00,0.1576968,0.1475694,A
2020-01-14 05:40:00,0.09259259,0.1012731,A
2020-01-14 06:00:00,0.1213716,0.1323982,A
2020-01-14 06:20:00,0.112,0.1015128,A
2020-01-14 06:40:00,0.09982639,0.1070602,A
2020-01-14 07:00:00,0.1576968,0.1475694,A
2020-01-14 07:20:00,0.09403935,0.1012731,A
2020-01-14 07:40:00,0.1537731,0.150463,A
2020-01-14 08:00:00,0.09398723,0.1012731,A
2020-01-14 08:20:00,0.1070602,0.1157407,A
2020-01-14 08:40:00,0.1605903,0.150463,A
2020-01-14 09:00:00,0.09403935,0.1041667,A
2020-01-14 09:20:00,0.1548032,0.1475694,A
2020-01-14 09:40:00,0.09259259,0.1012731,A
2020-01-14 10:00:00,0.1114005,0.1223552,A
2020-01-14 10:20:00,0.1191283,0.1038306,A
2020-01-14 10:40:00,0.0954861,0.1041667,A
2020-01-14 11:00:00,0.1519097,0.1446759,A
2020-01-14 11:20:00,0.09301174,0.09837963,A
2020-01-14 11:40:00,0.1548032,0.1475694,A
2020-01-14 12:00:00,0.09296481,0.1041667,A
2020-01-14 12:20:00,0.1129663,0.1277471,A
2020-01-14 12:40:00,0.1240221,0.1100545,A
2020-01-14 13:20:00,0.1533565,0.1475694,A
2020-01-14 13:40:00,0.09259259,0.1041667,A
2020-01-14 14:00:00,0.1412618,0.1455766,A
2020-01-14 14:20:00,0.09403935,0.1041667,A
2020-01-14 15:00:00,0.1432292,0.1331019,A
2020-01-14 15:20:00,0.09403935,0.1041667,A
2020-01-14 15:40:00,0.1533565,0.1475694,A
2020-01-14 16:00:00,0.09259259,0.1041667,A
2020-01-14 16:20:00,0.1366128,0.1502685,A
2020-01-14 16:40:00,0.09259259,0.1041667,A
2020-01-14 17:20:00,0.1475694,0.1417824,A
2020-01-14 17:40:00,0.09259259,0.1012731,A
2020-01-14 18:00:00,0.1417353,0.1475694,A
2020-01-14 18:20:00,0.09259259,0.1012731,A
2020-01-14 19:00:00,0.1432292,0.1331019,A
2020-01-14 19:20:00,0.08969907,0.1012731,A
2020-01-14 19:40:00,0.150463,0.1446759,A
2020-01-14 20:00:00,0.09259259,0.1012731,A
2020-01-14 20:40:00,0.1220477,0.1096984,A
2020-01-14 21:00:00,0.09403935,0.09837963,A
2020-01-14 21:20:00,0.150463,0.1446759,A
2020-01-14 21:40:00,0.09259259,0.1012731,A
2020-01-14 22:00:00,0.1205964,0.1328324,A
2020-01-14 22:20:00,0.103278,0.1012731,A
2020-01-14 22:40:00,0.09403935,0.1041667,A
2020-01-14 23:00:00,0.1591435,0.150463,A
2020-01-14 23:20:00,0.1012731,0.1070602,A
2020-01-14 23:40:00,0.150463,0.1417824,A
2020-01-15 00:00:00,0.1254998,0.1089329,A
2020-01-15 00:20:00,0.2124232,0.1909722,A
2020-01-15 00:40:00,0.2690972,0.2380069,C
2020-01-15 01:00:00,0.2162594,0.1960226,A
2020-01-15 01:20:00,0.2470629,0.2228009,A
2020-01-15 01:40:00,0.2199074,0.2025463,A
2020-01-15 04:40:00,0.3096065,0.2724767,C
2020-01-15 05:40:00,0.2951389,0.2604167,C
2020-01-15 06:00:00,0.2488426,0.2170139,A
2020-01-15 06:20:00,0.2994792,0.2575231,C
2020-01-15 06:40:00,0.2416088,0.2083333,A
2020-01-15 07:00:00,0.2780722,0.2387407,C
2020-01-15 07:20:00,0.2445023,0.1996528,A
2020-01-15 07:40:00,0.198206,0.1793981,A
2020-01-15 08:00:00,0.2236527,0.19179,A
2020-01-15 09:00:00,0.1866319,0.2199074,A
2020-01-15 09:20:00,0.234375,0.2604167,A
2020-01-15 09:40:00,0.2517361,0.2575231,C
2020-01-15 10:00:00,0.198206,0.2199074,A
2020-01-15 10:20:00,0.2690972,0.2748843,C
2020-01-15 10:40:00,0.2306457,0.2261441,A
2020-01-15 11:00:00,0.2115877,0.2372685,A
2020-01-15 11:20:00,0.2676505,0.2719907,C
2020-01-15 11:40:00,0.2025463,0.2199074,A
2020-01-15 12:00:00,0.234375,0.2604167,A
2020-01-15 12:20:00,0.2662037,0.2575231,C
2020-01-15 12:40:00,0.2126736,0.2314815,A
2020-01-15 13:00:00,0.2718005,0.2806713,C
2020-01-15 13:20:00,0.2429676,0.2314815,A
2020-01-15 13:40:00,0.2199074,0.2459491,A
2020-01-15 14:00:00,0.270544,0.2748843,C
2020-01-15 14:20:00,0.2083333,0.2228009,A
2020-01-15 14:40:00,0.239016,0.2662037,E
2020-01-15 15:00:00,0.2604167,0.250914,C
2020-01-15 15:20:00,0.2083333,0.2238165,A
2020-01-15 15:40:00,0.2633102,0.2777778,C
2020-01-15 16:00:00,0.2396462,0.2266375,A
2020-01-15 16:20:00,0.2126736,0.2397783,A
2020-01-15 16:40:00,0.2662037,0.2633102,C
2020-01-15 17:00:00,0.198206,0.2141204,A
2020-01-15 17:20:00,0.234375,0.2604167,A
2020-01-15 17:40:00,0.2308023,0.2141204,A
2020-01-15 18:00:00,0.2012928,0.2228009,A
2020-01-15 18:20:00,0.2517361,0.234375,C
2020-01-15 18:40:00,0.1909722,0.2083333,A
2020-01-15 19:00:00,0.2573917,0.2575231,C
2020-01-15 19:20:00,0.1895255,0.1996528,A
2020-01-15 19:40:00,0.2126736,0.2449593,A
2020-01-15 20:00:00,0.2445023,0.2199074,A
2020-01-15 20:20:00,0.1967593,0.2170139,A
2020-01-15 20:40:00,0.2604167,0.2488426,C
2020-01-15 21:00:00,0.1938657,0.1939698,A
2020-01-15 21:20:00,0.2441737,0.2517361,A
2020-01-15 21:40:00,0.1988749,0.1952036,A
2020-01-15 22:00:00,0.2095469,0.2170139,A
2020-01-15 22:20:00,0.213673,0.1996528,A
2020-01-15 22:40:00,0.198206,0.2025463,A
2020-01-15 23:00:00,0.2546296,0.2488426,C
2020-01-15 23:20:00,0.2083333,0.2042055,A
2020-01-15 23:40:00,0.2881167,0.2806713,C
2020-01-16 00:00:00,0.2329282,0.234375,A
2020-01-16 00:20:00,0.2922454,0.2893519,C
2020-01-16 00:40:00,0.2547538,0.2449904,C
2020-01-16 01:00:00,0.2488426,0.2517361,A
2020-01-16 01:20:00,0.2907986,0.2864583,C
2020-01-16 01:40:00,0.2387153,0.2372685,A
2020-01-16 02:00:00,0.2777778,0.2777778,C
2020-01-16 02:20:00,0.2533535,0.2424442,C
2020-01-16 02:40:00,0.2445023,0.2459491,A
2020-01-16 03:00:00,0.2662037,0.2488426,C
2020-01-16 03:20:00,0.234375,0.234375,A
2020-01-16 03:40:00,0.2734375,0.2633102,C
2020-01-16 04:00:00,0.2265985,0.2303234,A
2020-01-16 04:20:00,0.2980324,0.2922454,C
2020-01-16 04:40:00,0.2445023,0.2459491,A
2020-01-16 05:00:00,0.270544,0.2697639,C
2020-01-16 05:20:00,0.2955333,0.2783251,C
2020-01-16 06:00:00,0.3125,0.306118,C
2020-01-16 06:20:00,0.2604167,0.2633102,C
2020-01-16 06:40:00,0.2922454,0.2951389,C
2020-01-16 07:00:00,0.2879051,0.2777778,C
2020-01-16 07:20:00,0.2628579,0.2653448,C
2020-01-16 07:40:00,0.306713,0.3009259,C
2020-01-16 08:00:00,0.2473958,0.2517361,A
2020-01-16 08:20:00,0.2965856,0.2932041,C
2020-01-16 08:40:00,0.2416088,0.2459491,A
2020-01-16 09:00:00,0.2620094,0.2674919,C
2020-01-16 09:20:00,0.2806713,0.2633102,C
2020-01-16 09:40:00,0.2416088,0.2488426,A
2020-01-16 10:00:00,0.276331,0.2719907,C
2020-01-16 10:20:00,0.2126736,0.2199074,A
2020-01-16 10:40:00,0.2630883,0.2633102,C
2020-01-16 11:00:00,0.2010995,0.2054398,A
2020-01-16 11:20:00,0.2199074,0.234375,A
2020-01-16 11:40:00,0.2445023,0.234375,A
2020-01-16 12:00:00,0.2083333,0.2170139,A
2020-01-16 12:20:00,0.2676505,0.2633102,C
2020-01-16 12:40:00,0.2083333,0.2170139,A
2020-01-16 13:00:00,0.2416088,0.2517361,A
2020-01-16 13:20:00,0.2445023,0.234375,A
2020-01-16 13:40:00,0.219672,0.2273763,A
2020-01-16 14:00:00,0.2662037,0.2633102,C
2020-01-16 14:20:00,0.2097801,0.2162556,A
2020-01-16 14:40:00,0.2416088,0.2488426,A
2020-01-16 15:00:00,0.2389757,0.228588,A
2020-01-16 15:20:00,0.2184606,0.2272376,A
2020-01-16 15:40:00,0.2610997,0.2575231,C
2020-01-16 16:00:00,0.2126736,0.2199074,A
2020-01-16 16:20:00,0.2662037,0.2644731,C
2020-01-16 16:40:00,0.2083333,0.2141204,A
2020-01-16 17:00:00,0.234375,0.2459491,A
2020-01-16 17:20:00,0.2372685,0.228588,A
2020-01-16 17:40:00,0.2126736,0.2170139,A
2020-01-16 18:00:00,0.2589699,0.2575231,C
2020-01-16 18:20:00,0.2025463,0.2083333,A
2020-01-16 18:40:00,0.2466651,0.2517361,A
2020-01-16 19:00:00,0.2046911,0.2054398,A
2020-01-16 19:20:00,0.211785,0.220073,A
2020-01-16 19:40:00,0.2372685,0.234375,A
2020-01-16 20:00:00,0.1967593,0.2056527,A
2020-01-16 20:20:00,0.2531829,0.2500785,C
2020-01-16 20:40:00,0.1938657,0.2025463,A
2020-01-16 21:00:00,0.2271412,0.2331219,A
2020-01-16 21:20:00,0.1938657,0.2025463,A
2020-01-16 21:40:00,0.2082068,0.2199074,A
2020-01-16 22:00:00,0.1909722,0.200774,A
2020-01-16 22:20:00,0.2039931,0.2170139,A
2020-01-16 22:40:00,0.1914715,0.2025463,A
2020-01-16 23:20:00,0.1986381,0.2025463,A
2020-01-16 23:40:00,0.1967593,0.2083333,A
2020-01-17 00:00:00,0.1987634,0.1996528,A
2020-01-17 00:20:00,0.2039931,0.2172142,A
2020-01-17 00:40:00,0.2463388,0.2430556,A
2020-01-17 01:00:00,0.2126736,0.228588,A
2020-01-17 01:40:00,0.2184606,0.2357915,A
2020-01-17 02:00:00,0.2517361,0.2575231,C
2020-01-17 02:40:00,0.2372685,0.2488426,A
2020-01-17 03:00:00,0.2228009,0.2473898,A
2020-01-17 03:40:00,0.2199074,0.2479733,A
2020-01-17 04:00:00,0.2300347,0.2535959,A
2020-01-17 04:20:00,0.2126736,0.2488426,A
2020-01-17 04:40:00,0.2314815,0.2552688,A
2020-01-17 05:00:00,0.2097801,0.2488426,A
2020-01-17 05:40:00,0.2039931,0.2488426,A
2020-01-17 06:20:00,0.2010995,0.2488426,A
2020-01-17 07:00:00,0.1909722,0.2488426,A
2020-01-17 07:40:00,0.1837384,0.2488426,A
2020-01-17 08:20:00,0.1808449,0.2488426,A
2020-01-17 09:00:00,0.1533565,0.2254784,A
2020-01-17 09:40:00,0.1446759,0.2170139,A
2020-01-17 10:00:00,0.1793981,0.2488426,A
2020-01-17 10:20:00,0.1403356,0.2116156,A
2020-01-17 10:40:00,0.1737157,0.2488426,A
2020-01-17 11:00:00,0.1432292,0.2141204,A
2020-01-17 11:20:00,0.1740047,0.2488426,A
2020-01-17 11:40:00,0.1591435,0.2199074,A
2020-01-17 12:00:00,0.1721644,0.2600207,A
2020-01-17 12:20:00,0.1793981,0.2228009,A
2020-01-17 12:40:00,0.1678241,0.2662037,E
2020-01-17 13:00:00,0.2314815,0.228588,A
2020-01-17 13:20:00,0.2083333,0.2459491,A
2020-01-17 13:40:00,0.2520109,0.2575231,C
2020-01-17 14:00:00,0.3023727,0.2372685,C
2020-01-17 14:20:00,0.270544,0.2719907,C
2020-01-17 14:40:00,0.4003608,0.234375,D
2020-01-17 15:20:00,0.4720538,0.3211806,B
2020-01-17 15:40:00,0.3995008,0.3129225,C
2020-01-17 16:00:00,0.4595368,0.3009259,B
2020-01-17 16:20:00,0.5266203,0.2777778,D
2020-01-17 16:40:00,0.4499328,0.3008885,B
2020-01-17 17:00:00,0.6206597,0.2633102,D
2020-01-17 17:20:00,0.4861017,0.2893519,D
2020-01-17 17:40:00,0.6785301,0.2488426,D
2020-01-17 18:00:00,0.6025283,0.2662037,D
2020-01-17 18:20:00,0.6205434,0.2611296,D
2020-01-17 18:40:00,0.6857639,0.2459491,D
2020-01-17 19:00:00,0.6657897,0.2488426,D
2020-01-17 19:20:00,0.7247795,0.2370365,D
2020-01-17 19:40:00,0.6893346,0.2488426,D
2020-01-17 20:00:00,0.7725694,0.2314815,D
2020-01-17 20:20:00,0.6875613,0.2517361,D
2020-01-17 20:40:00,0.8015046,0.228588,D
2020-01-17 21:00:00,0.7209845,0.2488426,D
2020-01-17 21:20:00,0.8810763,0.2228009,D
2020-01-17 21:40:00,0.7936659,0.2488426,D
2020-01-17 22:00:00,0.97137,0.2209278,D
2020-01-17 22:20:00,0.8595053,0.2430556,D
2020-01-17 22:40:00,1.025752,0.2199074,D
2020-01-17 23:00:00,0.9011347,0.2478608,D
2020-01-17 23:20:00,1.066534,0.2199074,D
2020-01-17 23:40:00,1.076389,0.2141204,D
